Vir: 38920, Phy: 7944, Data: 0
Vir: 23430, Phy: 20614, Data: 22
Vir: 57592, Phy: 5880, Data: 0
Vir: 3080, Phy: 8200, Data: 0
Vir: 6677, Phy: 8469, Data: 0
Vir: 50704, Phy: 26128, Data: 0
Vir: 51883, Phy: 27307, Data: -86
Vir: 62799, Phy: 28495, Data: 83
Vir: 20188, Phy: 8924, Data: 0
Vir: 1245, Phy: 9181, Data: 0
Vir: 12220, Phy: 9404, Data: 0
Vir: 17602, Phy: 9666, Data: 17
Vir: 28609, Phy: 28097, Data: 0
Vir: 42694, Phy: 20934, Data: 41
Vir: 29826, Phy: 9858, Data: 29
Vir: 13827, Phy: 31235, Data: -128
Vir: 27336, Phy: 28872, Data: 0
Vir: 53343, Phy: 2655, Data: 23
Vir: 11533, Phy: 9997, Data: 0
Vir: 41713, Phy: 10481, Data: 0
Vir: 33890, Phy: 10594, Data: 33
Vir: 4894, Phy: 13598, Data: 4
Vir: 57599, Phy: 5887, Data: 63
Vir: 3870, Phy: 18974, Data: 3
Vir: 58622, Phy: 15614, Data: 57
Vir: 29780, Phy: 9812, Data: 0
Vir: 62553, Phy: 4185, Data: 0
Vir: 2303, Phy: 2559, Data: 63
Vir: 51915, Phy: 27339, Data: -78
Vir: 6251, Phy: 10859, Data: 26
Vir: 38107, Phy: 4827, Data: 54
Vir: 59325, Phy: 11197, Data: 0
Vir: 61295, Phy: 11375, Data: -37
Vir: 26699, Phy: 11595, Data: 18
Vir: 51188, Phy: 12020, Data: 0
Vir: 59519, Phy: 25983, Data: 31
Vir: 7345, Phy: 12209, Data: 0
Vir: 20325, Phy: 16741, Data: 0
Vir: 39633, Phy: 12497, Data: 0
Vir: 1562, Phy: 12570, Data: 1
Vir: 7580, Phy: 12956, Data: 0
Vir: 8170, Phy: 1258, Data: 7
Vir: 62256, Phy: 23856, Data: 0
Vir: 35823, Phy: 13295, Data: -5
Vir: 27790, Phy: 13454, Data: 27
Vir: 13191, Phy: 13703, Data: -31
Vir: 9772, Phy: 13868, Data: 0
Vir: 7477, Phy: 12853, Data: 0
Vir: 44455, Phy: 14247, Data: 105
Vir: 59546, Phy: 26010, Data: 58
Vir: 49347, Phy: 14531, Data: 48
Vir: 36539, Phy: 14779, Data: -82
Vir: 12453, Phy: 15013, Data: 0
